,Conf,MP_C,PTS_C,TRB_C,AST_C,FG%_C,3P%_C,Player Name,SOS,School,FT%_C,Pk,Tm,Yrs,DRAFT_YEAR,MP.1,PTS.1,TRB.1,AST.1,FG%,3P%,Player,FT%
714,Big 12,30.6,15.9,6.1,2.3,0.43200000000000005,0.361,Taurean Prince,9.76,Baylor,0.774,12,UTA,3.0,2016,24.8,11.0,3.9,2.0,0.419,0.369,Taurean Prince,0.83
715,Big Ten,33.0,19.2,7.5,7.8,0.462,0.444,Denzel Valentine,6.94,Michigan State,0.853,14,CHI,2.0,2016,22.9,8.0,4.1,2.3,0.39899999999999997,0.374,Denzel Valentine,0.754
716,SEC,30.4,14.1,4.0,5.2,0.42700000000000005,0.406,Wade Baldwin,8.68,Vanderbilt,0.799,17,MEM,3.0,2016,11.0,3.1,1.2,1.5,0.35100000000000003,0.258,Wade Baldwin,0.787
717,Big East,33.5,17.0,9.7,1.8,0.446,0.28800000000000003,Henry Ellenson,5.57,Marquette,0.7490000000000001,18,DET,3.0,2016,8.3,3.8,2.2,0.5,0.363,0.32,Henry Ellenson,0.795
718,ACC,29.8,15.6,5.3,1.5,0.47100000000000003,0.387,Malik Beasley,8.16,Florida State,0.813,19,DEN,3.0,2016,10.5,4.0,1.3,0.6,0.431,0.349,Malik Beasley,0.7020000000000001
719,Big Ten,30.9,16.5,5.3,4.9,0.506,0.446,Caris LeVert,7.92,Michigan,0.794,20,IND,3.0,2016,24.8,11.1,3.6,3.2,0.446,0.33299999999999996,Caris LeVert,0.716
720,A-10,37.3,17.4,7.8,4.5,0.479,0.266,DeAndre Bembry,4.93,St. Joseph's,0.657,21,ATL,3.0,2016,15.2,4.7,2.7,1.5,0.419,0.27399999999999997,DeAndre Bembry,0.564
721,ACC,34.4,13.4,4.3,2.1,0.369,0.353,Malachi Richardson,9.75,Syracuse,0.72,22,CHO,3.0,2016,9.8,3.1,1.1,0.4,0.358,0.289,Malachi Richardson,0.773
722,ACC,28.0,18.2,10.4,1.5,0.617,,Brice Johnson,10.69,UNC,0.794,25,LAC,2.0,2016,5.1,2.2,1.6,0.1,0.449,0.0,Brice Johnson,0.6
723,WAC,34.6,20.3,11.6,1.7,0.539,0.2,Pascal Siakam,-3.54,New Mexico State,0.6779999999999999,27,TOR,3.0,2016,20.0,7.1,4.4,1.4,0.53,0.23600000000000002,Pascal Siakam,0.68
